Country,Week,Date,First death,Death,Death per 1 million,Lagged death per 1 million,Cases,Lagged cases,Cases per 1 million,Lagged cases per 1 million,Total Tests,Weakly Test,Weakly Tests per 1 millon,Stringency Index,First Lag Stringency Index,Second Lag Stringency Index,Population,UHC service coverage index,Population 65 and above,Smoking,Diabetes,"Mortality from CVD, cancer, diabetes or CRD",Unemployment,GHS Index,GHS Rapid response,GHS Health system,GHS Risk environment,Households with internet,Mobile subscriptions,Doctors,Nurses and midwives,Hospital beds,Capacity to isolate patients,Universal healthcare coverage,Health expenditure,Government effectiveness,Orderly transfers of power,Risk of social unrest,Risk of terrorism,Armed conflict,Government territorial control,International tensions,Poverty,Confidence in government,Urban population,Life expectancy,Government health expenditure,GDP per capita,Human Development Index,Democracy Index,Peace Index,Corruption Index,Rule of Law Index,Constraints on Government Powers,Absence of Corruption,Open Government,Fundamental Rights,Order and Security,Regulatory Enforcement,Civil Justice,Criminal Justice
Algeria,1,20200319,20200312,6,0.14,0.02,57,13,1.35,0.31,,,,47.62,33,14,42228429,78,6.4,15.6,6.7,14.2,13.6,23.6,19.6,13.1,51.4,42.9,120.7,120.7,194.7,190,0,1,308.3,1,0,1,2,3,2,2,0.2,1,72.1,76.08,676,4155,0.8,3.5,2.8,35,0.49,0.48,0.45,0.34,0.47,0.74,0.47,0.56,0.43
Algeria,2,20200326,20200312,10,0.24,0.14,182,57,4.31,1.35,,,,85.71,48,33,42228429,78,6.4,15.6,6.7,14.2,13.6,23.6,19.6,13.1,51.4,42.9,120.7,120.7,194.7,190,0,1,308.3,1,0,1,2,3,2,2,0.2,1,72.1,76.08,676,4155,0.8,3.5,2.8,35,0.49,0.48,0.45,0.34,0.47,0.74,0.47,0.56,0.43
Algeria,3,20200402,20200312,41,0.97,0.24,583,182,13.81,4.31,,,,90.48,86,48,42228429,78,6.4,15.6,6.7,14.2,13.6,23.6,19.6,13.1,51.4,42.9,120.7,120.7,194.7,190,0,1,308.3,1,0,1,2,3,2,2,0.2,1,72.1,76.08,676,4155,0.8,3.5,2.8,35,0.49,0.48,0.45,0.34,0.47,0.74,0.47,0.56,0.43
Algeria,4,20200409,20200312,147,3.48,0.97,725,583,17.17,13.81,,,,95.24,90,86,42228429,78,6.4,15.6,6.7,14.2,13.6,23.6,19.6,13.1,51.4,42.9,120.7,120.7,194.7,190,0,1,308.3,1,0,1,2,3,2,2,0.2,1,72.1,76.08,676,4155,0.8,3.5,2.8,35,0.49,0.48,0.45,0.34,0.47,0.74,0.47,0.56,0.43
Algeria,5,20200416,20200312,131,3.1,3.48,588,725,13.92,17.17,,,,95.24,95,90,42228429,78,6.4,15.6,6.7,14.2,13.6,23.6,19.6,13.1,51.4,42.9,120.7,120.7,194.7,190,0,1,308.3,1,0,1,2,3,2,2,0.2,1,72.1,76.08,676,4155,0.8,3.5,2.8,35,0.49,0.48,0.45,0.34,0.47,0.74,0.47,0.56,0.43
Argentina,1,20200314,20200307,1,0.02,0.02,36,9,0.81,0.2,,,,38.1,14,14,44494502,76,11.1,21.8,5.9,15.8,9.2,58.6,50.6,54.9,60,71,130,390.7,421.2,500,1,1,241.9,2,2,2,3,4,2,3,0.3,1,91.7,76.58,1140,11599,0.8,7,3,40,0.58,0.61,0.52,0.64,0.7,0.62,0.53,0.59,0.44
Argentina,2,20200321,20200307,1,0.02,0.02,113,36,2.54,0.81,,,,95.24,38,14,44494502,76,11.1,21.8,5.9,15.8,9.2,58.6,50.6,54.9,60,71,130,390.7,421.2,500,1,1,241.9,2,2,2,3,4,2,3,0.3,1,91.7,76.58,1140,11599,0.8,7,3,40,0.58,0.61,0.52,0.64,0.7,0.62,0.53,0.59,0.44
Argentina,3,20200328,20200307,9,0.2,0.02,431,113,9.69,2.54,,,,95.24,95,38,44494502,76,11.1,21.8,5.9,15.8,9.2,58.6,50.6,54.9,60,71,130,390.7,421.2,500,1,1,241.9,2,2,2,3,4,2,3,0.3,1,91.7,76.58,1140,11599,0.8,7,3,40,0.58,0.61,0.52,0.64,0.7,0.62,0.53,0.59,0.44
Argentina,4,20200404,20200307,25,0.56,0.2,676,431,15.19,9.69,13330,,,95.24,95,95,44494502,76,11.1,21.8,5.9,15.8,9.2,58.6,50.6,54.9,60,71,130,390.7,421.2,500,1,1,241.9,2,2,2,3,4,2,3,0.3,1,91.7,76.58,1140,11599,0.8,7,3,40,0.58,0.61,0.52,0.64,0.7,0.62,0.53,0.59,0.44
Argentina,5,20200411,20200307,42,0.94,0.56,664,676,14.92,15.19,18027,4697,106,100,95,95,44494502,76,11.1,21.8,5.9,15.8,9.2,58.6,50.6,54.9,60,71,130,390.7,421.2,500,1,1,241.9,2,2,2,3,4,2,3,0.3,1,91.7,76.58,1140,11599,0.8,7,3,40,0.58,0.61,0.52,0.64,0.7,0.62,0.53,0.59,0.44
